"","Ward","Name","Took Office","Party"
"1",1,"Proco Joe Moreno","2010*","Dem"
"2",2,"Brian Hopkins","2015","Dem"
"3",3,"Pat Dowell","2007","Dem"
"4",4,"Sophia King","2016*","Dem"
"5",5,"Leslie Hairston","1999","Dem"
"6",6,"Roderick Sawyer","2011","Dem"
"7",7,"Gregory Mitchell","2015","Dem"
"8",8,"Michelle A. Harris","2006*","Dem"
"9",9,"Anthony Beale","1999","Dem"
"10",10,"Susie Sadlowski Garza","2015","Dem"
"11",11,"Patrick Daley Thompson","2015","Dem"
"12",12,"George Cardenas","2003","Dem"
"13",13,"Marty Quinn","2011","Dem"
"14",14,"Edward M. Burke","1969","Dem"
"15",15,"Raymond Lopez","2015","Dem"
"16",16,"Toni Foulkes","2007","Dem"
"17",17,"David H. Moore","2015","Dem"
"18",18,"Derrick Curtis","2015","Dem"
"19",19,"Matthew O'Shea","2011","Dem"
"20",20,"Willie Cochran","2007","Dem"
"21",21,"Howard Brookins Jr.","2003","Dem"
"22",22,"Ricardo Muñoz","1993*","Dem"
"23",23,"Michael Zalewski","1995","Dem"
"24",24,"Michael Scott, Jr.","2015","Dem"
"25",25,"Daniel Solis","1996*","Dem"
"26",26,"Roberto Maldonado","2009*","Dem"
"27",27,"Walter Burnett, Jr.","1995","Dem"
"28",28,"Jason Ervin","2011*","Dem"
"29",29,"Chris Taliaferro","2015","Dem"
"30",30,"Ariel Reboyras","2003","Dem"
"31",31,"Milly Santiago","2015","Dem"
"32",32,"Scott Waguespack","2007","Dem"
"33",33,"Deb Mell","2013*","Dem"
"34",34,"Carrie Austin","1994*","Dem"
"35",35,"Carlos Ramirez-Rosa","2015","Dem"
"36",36,"Gilbert Villegas","2015","Dem"
"37",37,"Emma Mitts","2000*","Dem"
"38",38,"Nicholas Sposato","2011","Dem"
"39",39,"Margaret Laurino","1994*","Dem"
"40",40,"Patrick J. O'Connor","1983","Dem"
"41",41,"Anthony Napolitano","2015","Rep"
"42",42,"Brendan Reilly","2007","Dem"
"43",43,"Michele Smith","2011","Dem"
"44",44,"Thomas M. Tunney","2002*","Dem"
"45",45,"John Arena","2011","Dem"
"46",46,"James Cappleman","2011","Dem"
"47",47,"Ameya Pawar","2011","Dem"
"48",48,"Harry Osterman","2011","Dem"
"49",49,"Joe Moore","1991","Dem"
"50",50,"Debra Silverstein","2011","Dem"
