"","Person.Name","Ward.Office","oldald[, 1]"
"1","Allen, Thomas","38","Allen"
"2","Arena, John","45","Arena"
"3","Austin, Carrie M.","34","Austin"
"4","Balcer, James","11","Balcer"
"5","Beale, Anthony","9","Beale"
"6","Brookins, Jr., Howard","21","Brookins"
"7","Brown, Carole","","Brown"
"8","Burke, Edward M.","14","Burke"
"9","Burnett, Jr., Walter","27","Burnett"
"10","Burns, William D.","4","Burns"
"11","Cappleman, James","46","Cappleman"
"12","Cardenas, George A.","12","Cardenas"
"13","Chandler, Michael D.","24","Chandler"
"14","Cochran, Willie","20","Cochran"
"15","Colón, Rey","35","Colón"
"16","Cullerton, Timothy M.","38","Cullerton"
"17","Curtis, Derrick G.","18","Curtis"
"18","Daley, Richard M.","Mayor","Daley"
"19","Daley, Vi","43","Daley"
"20","Del Valle, Miguel","Clerk","Del Valle"
"21","Dixon, Sharon","24","Dixon"
"22","Doherty, Brian","41","Doherty"
"23","Dowell, Pat","3","Dowell"
"24","Emanuel, Rahm","Mayor","Emanuel"
"25","Ervin, Jason C.","28","Ervin"
"26","Fioretti, Bob","2","Fioretti"
"27","Foulkes, Toni","16","Foulkes"
"28","Graham, Deborah L.","29","Graham"
"29","Hairston, Leslie A.","5","Hairston"
"30","Harris, Michelle A.","8","Harris"
"31","Holmes, Natashia","7","Holmes"
"32","Hopkins, Brian","2","Hopkins"
"33","Jackson, Sandi","7","Jackson"
"34","King, Sophia","4","King"
"35","Lane, Lona","18","Lane"
"36","Laurino, Margaret","39","Laurino"
"37","Levar, Patrick","45","Levar"
"38","Lopez, Raymond A.","15","Lopez"
"39","Lyle, Freddrenna","6","Lyle"
"40","Maldonado, Roberto","26","Maldonado"
"41","Mell, Deborah","33","Mell"
"42","Mell, Richard F.","33","Mell"
"43","Mendoza, Susana A.","Clerk","Mendoza"
"44","Mitchell, Gregory I.","7","Mitchell"
"45","Mitts, Emma","37","Mitts"
"46","Moore, David H.","17","Moore"
"47","Moore, Joseph","49","Moore"
"48","Moreno, Proco Joe","1","Moreno"
"49","Munoz, Ricardo","22","Munoz"
"50","Napolitano, Anthony V.","41","Napolitano"
"51","Newsome, Shirley","4","Newsome"
"52","O'Connor, Mary","41","O'Connor"
"53","O'Connor, Patrick","40","O'Connor"
"54","Olivo, Frank","13","Olivo"
"55","O'Shea, Matthew J.","19","O'Shea"
"56","Osterman, Harry","48","Osterman"
"57","Pawar, Ameya","47","Pawar"
"58","Pope, John","10","Pope"
"59","Preckwinkle, Toni","4","Preckwinkle"
"60","Quinn, Marty","13","Quinn"
"61","Ramirez-Rosa, Carlos","35","Ramirez-Rosa"
"62","Reboyras, Ariel","30","Reboyras"
"63","Reilly, Brendan","42","Reilly"
"64","Rice, John","36","Rice"
"65","Rugai, Virginia","19","Rugai"
"66","Sadlowski Garza, Susan","10","Sadlowski Garza"
"67","Sanchez, Carina E.","Clerk","Sanchez"
"68","Santiago, Milagros S.","31","Santiago"
"69","Sawyer, Roderick T.","6","Sawyer"
"70","Schulter, Eugene","47","Schulter"
"71","Scott, Jr. Michael","24","Scott"
"72","Shiller, Helen","46","Shiller"
"73","Silverstein, Debra L.","50","Silverstein"
"74","Smith, Ed","28","Smith"
"75","Smith, Mary Ann","48","Smith"
"76","Smith, Michele","43","Smith"
"77","Solis, Daniel","25","Solis"
"78","Sposato, Nicholas","38","Sposato"
"79","Stone, Bernard","50","Stone"
"80","Suarez, Regner Ray","31","Suarez"
"81","Taliaferro, Chris","29","Taliaferro"
"82","Thomas, Latasha R.","17","Thomas"
"83","Thompson, JoAnn","16","Thompson"
"84","Thompson, Patrick D.","11","Thompson"
"85","Tunney, Thomas","44","Tunney"
"86","Valencia, Anna M.","Clerk","Valencia"
"87","Villegas, Gilbert","36","Villegas"
"88","Waguespack, Scott","32","Waguespack"
"89","Zalewski, Michael R.","23","Zalewski"
"90","

","","

"
